"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Search Results","Search Results"
Anowave,Anowave
"Google Tag Manager GA4","Google Tag Manager GA4"
Enable,Enable
License,License
"Use GTM split snippet","Use GTM split snippet"
"Google Tag Manager Code (Head)","Google Tag Manager Code (Head)"
"Google Tag Manager Code (Body)","Google Tag Manager Code (Body)"
"Google Tag Manager Code","Google Tag Manager Code"
"Measurement ID","Measurement ID"
"Disable by IP","Disable by IP"
"Disable customer non-id by IP","Disable customer non-id by IP"
"Google Ads <sup>Conversion Tracking / Dynamic Remarketing</sup>","Google Ads <sup>Conversion Tracking / Dynamic Remarketing</sup>"
"Enable Adwords Conversion Tracking","Enable Adwords Conversion Tracking"
"Implementation type","Implementation type"
"Google Ads Conversion ID","Google Ads Conversion ID"
"Google Ads Conversion Label","Google Ads Conversion Label"
"Google Ads Conversion currency","Google Ads Conversion currency"
"Google Ads Conversion color","Google Ads Conversion color"
"Google Ads Conversion format","Google Ads Conversion format"
"Global site tag","Global site tag"
"Send to parameter","Send to parameter"
"Google Ads Dynamic Remarketing ecomm_prodid","Google Ads Dynamic Remarketing ecomm_prodid"
"Enable Google Ads Dynx_","Enable Google Ads Dynx_"
"Add Enhanced Conversions support","Add Enhanced Conversions support"
"Google Customer Reviews","Google Customer Reviews"
"Merchant ID","Merchant ID"
"Badge position","Badge position"
"Delivery date","Delivery date"
"Enable GTIN","Enable GTIN"
"GTIN attribute","GTIN attribute"
"Meta Pixel Tracking","Meta Pixel Tracking"
"Meta Pixel code","Meta Pixel code"
"Meta value","Meta value"
"Enable Meta Conversions API (server-side)","Enable Meta Conversions API (server-side)"
"Meta Conversions API Pixel Id","Meta Conversions API Pixel Id"
"Meta Conversions API Access token","Meta Conversions API Access token"
"Conversions API Test Event Code (optional)","Conversions API Test Event Code (optional)"
"GDPR event","GDPR event"
"Meta content_ids[] attribute","Meta content_ids[] attribute"
"Advanced Developer Configuration","Advanced Developer Configuration"
"Add to Cart selector","Add to Cart selector"
"Add to Cart selector (in listings)","Add to Cart selector (in listings)"
"Remove from Cart selector","Remove from Cart selector"
"Impression list selector","Impression list selector"
"Impression click selector","Impression click selector"
"Impression cross sell selector","Impression cross sell selector"
"Widget list selector","Widget list selector"
"Widget list click selector","Widget list click selector"
"Widget list add cart selector","Widget list add cart selector"
"Add to Wishlist selector","Add to Wishlist selector"
"Add to Compare selector","Add to Compare selector"
"Add to Wishlist selector (in listings)","Add to Wishlist selector (in listings)"
"Add to Compare selector (in listings)","Add to Compare selector (in listings)"
"Pre-processing strip","Pre-processing strip"
"Optimize scripts","Optimize scripts"
"Debug mode","Debug mode"
"Google Tag Manager <sup>API</sup>","Google Tag Manager <sup>API</sup>"
"Use built-in settings","Use built-in settings"
Throttle,Throttle
About,About
"Client ID","Client ID"
"Client secret","Client secret"
"Universal Analytics Tracking ID","Universal Analytics Tracking ID"
"Account ID","Account ID"
"Container ID","Container ID"
"Configure AdWords Dynamic Remarketing","Configure AdWords Dynamic Remarketing"
"AdWords Conversion ID","AdWords Conversion ID"
"AdWords Conversion label","AdWords Conversion label"
"Measurement Protocol Google Anlaytics 4","Measurement Protocol Google Anlaytics 4"
"Track server-side ONLY","Track server-side ONLY"
"Keep 'purchase' event","Keep 'purchase' event"
"Keep 'enhanced_conversion_data' event","Keep 'enhanced_conversion_data' event"
"Track offline orders","Track offline orders"
"Track canceled orders","Track canceled orders"
"Track refunds","Track refunds"
"Google Optimize","Google Optimize"
"Google Optimize Page Hiding Snippet","Google Optimize Page Hiding Snippet"
"Google Optimize Container ID","Google Optimize Container ID"
"Enhanced Ecommerce Tracking Preferences","Enhanced Ecommerce Tracking Preferences"
Identifier,Identifier
"Use category segments","Use category segments"
"No translation","No translation"
"Use simple SKU(s) only","Use simple SKU(s) only"
"Use first variant SKU(s)","Use first variant SKU(s)"
"Brand attribute","Brand attribute"
"Brand delimiter","Brand delimiter"
"Use remove confirmation","Use remove confirmation"
"Use localStorage","Use localStorage"
"Filter-out payment method","Filter-out payment method"
"Add 'list' parameter in detail actionField","Add 'list' parameter in detail actionField"
"Activate Private Fallback","Activate Private Fallback"
"Impresson payload model","Impresson payload model"
"About impression payload model","About impression payload model"
"Enable summary cart callback","Enable summary cart callback"
"Reset dataLayer[] object","Reset dataLayer[] object"
"Tax Preferences","Tax Preferences"
"Transaction revenue","Transaction revenue"
"Transaction product item price","Transaction product item price"
"Payload product item price","Payload product item price"
"Google Ads total value","Google Ads total value"
"Accelerated Mobile Pages","Accelerated Mobile Pages"
"Enable AMP","Enable AMP"
"Affiliate tracking","Affiliate tracking"
"Enable affiliate tracking","Enable affiliate tracking"
"Affiliate parameter","Affiliate parameter"
"Affiliate custom dimension index","Affiliate custom dimension index"
"Internal Search tracking","Internal Search tracking"
"Enable Internal Search tracking","Enable Internal Search tracking"
"Search dimension index","Search dimension index"
"Cookie Consent Directive / GDPR","Cookie Consent Directive / GDPR"
"Enable Cookie Consent","Enable Cookie Consent"
"Consent mode","Consent mode"
"Consent Widget","Consent Widget"
"Widget color","Widget color"
"Widget color gradient end","Widget color gradient end"
"Check all by default","Check all by default"
"Initialize dataLayer[] on DECLINE","Initialize dataLayer[] on DECLINE"
"About segment mode","About segment mode"
"Cookie Consent content","Cookie Consent content"
"Background color","Background color"
"Close icon color","Close icon color"
"Customize text link color","Customize text link color"
"Border radius","Border radius"
"Text color","Text color"
"Accept link color","Accept link color"
"Checkbox color","Checkbox color"
"""Confirm"" link text","""Confirm"" link text"
"""Confirm all"" link text","""Confirm all"" link text"
"""Thank you"" text","""Thank you"" text"
"""Learn more"" link text","""Learn more"" link text"
"""Learn more"" link URL","""Learn more"" link URL"
"Display DECLINE button","Display DECLINE button"
"""Decline"" link text","""Decline"" link text"
"Customize link text","Customize link text"
"Customize link close text","Customize link close text"
"Custom Dimensions","Custom Dimensions"
"Stock dimension index","Stock dimension index"
"Performance API","Performance API"
"Enable Performance API","Enable Performance API"
"Enhanced Ecommerce","Enhanced Ecommerce"
"Google Tag Manager Enhanced Ecommerce","Google Tag Manager Enhanced Ecommerce"
Disable,Disable
Refresh,Refresh
"Cache Type","Cache Type"
Description,Description
Tags,Tags
Status,Status
Disabled,Disabled
Enabled,Enabled
"Send transaction to Google Analytics","Send transaction to Google Analytics"
UA/GA4,UA/GA4
"Delete consent(s)","Delete consent(s)"
"Are you sure to delete selected consent(s)?","Are you sure to delete selected consent(s)?"
"Consent ID","Consent ID"
Consent,Consent
"Consent IP","Consent IP"
"Consent datetime","Consent datetime"
log,log
"Delete log(s)","Delete log(s)"
"Are you sure to delete selected log(s)?","Are you sure to delete selected log(s)?"
"Log ID","Log ID"
Log,Log
"Log datetime","Log datetime"
